FUNDOS,TIPO,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,DIVIDEND YIELD,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (12M) MÉDIA,VARIAÇÃO PREÇO,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
PRTS11,SHOPPING,"117,70",N/A,"1.961,67",N/A,N/A,N/A,N/A,N/A,"3.111.607,44",N/A,N/A,N/A,N/A,2,N/A,11,N/A,N/A,N/A
SRVD11,TIJOLO,"3,00","233,91","583,00","2,29 %","3,30 %","1,65 %","1,65 %","-9,79 %","-720.474,07","1,19","2,53","16,87 %","-0,11 %",0,"135,21",107,N/A,N/A,N/A
IBFF11,TIJOLO,"66,40","162.549,50","4,49","0,00 %","8,02 %","0,15 %","0,67 %","0,00 %","9.855.905,16","14,78","4,49","100,08 %","-79,09 %",0,"4,20",3.87,N/A,N/A,N/A
RBRM11,DESENVOLVIMENTO,"94.794,81",N/A,"3,45","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","14.823.845,13",N/A,N/A,N/A,N/A,0,N/A,54,N/A,N/A,N/A
LOFT11B,DESENVOLVIMENTO,"29,90",N/A,"2,84","0,00 %","189,83 %","0,00 %","15,82 %","0,00 %","20.644.665,73",N/A,N/A,N/A,N/A,16,N/A,1,N/A,N/A,N/A
KINP11,DESENVOLVIMENTO,"9,82","38.394,20","2,66","0,00 %","31,63 %","1,64 %","2,64 %","0,00 %","26.408.606,84","3,69","2,66","78,46 %","-16,14 %",0,"44,90",1.932,N/A,N/A,N/A
LFTT11,PAPEL,"42,04","14.357,00","1,89",N/A,N/A,N/A,N/A,N/A,"164.926.019,11","22,27","1,89","12,88 %","-44,38 %",250,"41,20",495,N/A,N/A,N/A
RBTS11,DESENVOLVIMENTO,"1.111,00","1.111,00","1,55","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","40.453.329,84","715,67","1,55","11,01 %","-34,57 %",0,"60,77",61,N/A,N/A,N/A
ERCR11,TIJOLO,"76.000,00",N/A,"1,47","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","122.839.762,11","51.700,24","1,47","1,26 %","-22,29 %",0,N/A,10,N/A,N/A,N/A
FISC11,TIJOLO,"165,00",N/A,"1,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","195.644.934,32","115,09","1,43","0,39 %","0,03 %",5,N/A,64,N/A,N/A,N/A
SHOP11,SHOPPING,"68,00","679,86","1,43",N/A,N/A,N/A,N/A,N/A,"70.437.259,73",N/A,N/A,N/A,N/A,1,"34,26",45,N/A,N/A,N/A
